,Player,PTS.1,TRB.1,AST.1,FG%,3P%,FT%,WS,BPM
0,Anthony Davis,23.8,10.2,2.3,0.515,0.303,0.794,91.1,6.0
1,Michael Kidd-Gilchrist,8.4,5.4,1.2,0.474,0.272,0.715,21.0,-1.8
2,Bradley Beal,22.1,4.1,4.2,0.456,0.372,0.821,48.9,1.7
3,Dion Waiters,13.1,2.6,2.8,0.412,0.346,0.694,8.8,-2.1
4,Damian Lillard,24.6,4.2,6.6,0.437,0.373,0.893,94.2,4.7
5,Harrison Barnes,14.2,5.1,1.8,0.453,0.38,0.805,44.6,-0.8
6,Terrence Ross,11.2,2.8,1.3,0.417,0.362,0.839,23.4,-0.9
7,Andre Drummond,13.9,13.3,1.4,0.539,0.132,0.472,66.8,1.3
8,Austin Rivers,8.8,2.1,2.2,0.418,0.35,0.648,13.9,-3.0
9,Meyers Leonard,5.6,3.9,0.9,0.482,0.39,0.809,15.5,-1.4
10,Jeremy Lamb,10.2,3.6,1.6,0.439,0.343,0.856,26.7,0.7
11,Kendall Marshall,5.0,1.6,4.9,0.399,0.37,0.611,1.0,-3.5
12,John Henson,7.6,5.3,1.1,0.54,0.25,0.568,20.7,-0.5
13,Maurice Harkless,6.9,3.5,0.9,0.474,0.32,0.624,23.0,-0.8
14,Tyler Zeller,6.9,4.4,0.9,0.508,0.286,0.764,17.1,-2.0
15,Terrence Jones,10.4,5.7,1.0,0.501,0.297,0.621,14.7,0.5
16,Andrew Nicholson,6.0,3.0,0.4,0.467,0.321,0.773,3.8,-3.6
17,Evan Fournier,14.3,2.7,2.6,0.446,0.382,0.798,30.1,-0.9
18,Jared Sullinger,10.8,7.5,1.8,0.436,0.272,0.723,15.3,-0.4
19,John Jenkins,5.0,1.5,0.8,0.441,0.367,0.847,3.0,-1.9
20,Tony Wroten,11.1,2.5,3.0,0.413,0.231,0.647,-1.3,-3.4
21,Jeff Taylor,6.1,2.0,0.8,0.409,0.319,0.665,1.3,-4.2
22,Tomáš Satoranský,6.9,2.9,4.0,0.468,0.356,0.822,17.4,-0.9
23,Jae Crowder,9.6,4.3,1.6,0.418,0.346,0.777,39.8,0.3
24,Draymond Green,8.7,6.9,5.4,0.44,0.314,0.71,52.0,2.7
25,Khris Middleton,17.1,4.9,3.8,0.459,0.393,0.881,50.4,0.7
26,Will Barton,11.6,4.3,2.7,0.433,0.353,0.787,25.8,-0.2
27,Mike Scott,6.7,3.1,0.9,0.453,0.362,0.757,16.8,-1.7
28,Justin Hamilton,6.1,3.6,0.8,0.464,0.309,0.798,3.7,-0.9
29,Darius Miller,5.9,1.6,1.4,0.419,0.383,0.84,6.5,-2.3
30,Kyle O'Quinn,5.4,4.6,1.4,0.517,0.218,0.74,17.8,0.9
31,Victor Oladipo,17.4,4.6,3.9,0.437,0.346,0.79,24.6,0.8
32,Otto Porter Jr.,10.6,5.0,1.5,0.478,0.398,0.794,35.7,1.8
33,Cody Zeller,8.5,6.0,1.4,0.52,0.221,0.731,32.1,-0.6
34,Alex Len,7.7,5.9,0.9,0.507,0.329,0.683,21.6,-1.9
35,Nerlens Noel,7.3,6.2,1.1,0.549,0.154,0.655,28.2,0.9
36,Ben McLemore,8.9,2.3,1.0,0.413,0.362,0.779,8.7,-3.1
37,Kentavious Caldwell-Pope,11.5,3.1,1.7,0.418,0.358,0.812,34.1,-0.8
38,Trey Burke,9.7,1.8,3.1,0.411,0.345,0.81,13.0,-1.3
39,CJ McCollum,19.2,3.5,3.5,0.455,0.396,0.816,40.1,1.3
40,Michael Carter-Williams,10.3,4.4,4.4,0.402,0.255,0.706,6.6,-1.2
41,Steven Adams,9.3,8.0,1.5,0.587,0.071,0.548,55.6,0.5
42,Kelly Olynyk,10.1,5.1,2.0,0.475,0.366,0.781,34.9,0.9
43,Shabazz Muhammad,9.0,2.8,0.5,0.473,0.319,0.751,8.5,-2.0
44,Giannis Antetokounmpo,21.7,9.4,4.6,0.534,0.289,0.718,86.6,6.0
45,Dennis Schröder,14.2,2.9,4.7,0.436,0.338,0.833,23.5,-1.2
46,Shane Larkin,5.5,1.9,2.9,0.422,0.336,0.777,4.4,-2.4
47,Tony Snell,6.1,2.3,1.1,0.431,0.394,0.845,18.4,-2.0
48,Gorgui Dieng,7.5,5.8,1.3,0.5,0.369,0.791,30.7,0.4
49,Mason Plumlee,8.3,6.6,2.4,0.583,0.049,0.557,43.9,1.3
50,Solomon Hill,5.5,3.1,1.5,0.388,0.331,0.797,11.9,-2.1
51,Tim Hardaway Jr.,13.9,2.8,1.9,0.422,0.358,0.812,25.9,-0.8
52,Reggie Bullock,7.7,2.5,1.2,0.426,0.383,0.84,17.4,-0.8
53,Rudy Gobert,12.4,11.6,1.3,0.652,0.0,0.638,85.4,4.0
54,Archie Goodwin,6.3,2.0,1.2,0.429,0.236,0.7,1.1,-3.0
55,Allen Crabbe,9.1,2.8,1.1,0.425,0.387,0.831,13.7,-1.6
56,Álex Abrines,5.3,1.4,0.5,0.387,0.368,0.88,5.0,-1.9
57,Isaiah Canaan,8.1,1.9,1.9,0.371,0.351,0.836,4.3,-2.4
58,Ray McCallum,6.0,2.0,2.4,0.408,0.335,0.711,2.1,-2.6
59,Nate Wolters,5.5,2.2,2.5,0.423,0.261,0.635,0.9,-2.6
60,Mike Muscala,6.2,3.2,0.9,0.458,0.377,0.847,16.7,0.2
61,Raul Neto,6.0,1.6,2.2,0.453,0.366,0.803,10.0,-1.6
62,Ryan Kelly,6.0,3.1,1.3,0.378,0.316,0.797,3.0,-2.6
63,James Ennis III,6.7,3.3,0.9,0.457,0.36,0.797,16.2,-1.5
64,Joffrey Lauvergne,5.6,3.8,0.9,0.479,0.285,0.719,5.2,-2.1
65,Andrew Wiggins,19.3,4.4,2.3,0.448,0.349,0.724,23.7,-1.5
66,Jabari Parker,14.1,5.5,2.0,0.494,0.326,0.743,13.8,-0.8
67,Joel Embiid,25.8,11.3,3.3,0.487,0.335,0.811,42.2,5.9
68,Aaron Gordon,13.0,6.3,2.5,0.458,0.32,0.702,28.1,-0.2
69,Dante Exum,5.7,1.8,2.1,0.407,0.305,0.764,3.1,-3.3
70,Marcus Smart,10.4,3.6,4.4,0.382,0.321,0.78,29.3,-0.1
71,Julius Randle,17.8,9.3,3.5,0.473,0.332,0.744,31.4,0.4
72,Nik Stauskas,6.7,2.0,1.5,0.389,0.354,0.812,3.9,-3.0
73,Elfrid Payton,10.1,4.0,5.8,0.447,0.288,0.624,15.9,-0.9
74,Doug McDermott,9.2,2.3,0.9,0.476,0.409,0.82,19.3,-1.9
75,Dario Šarić,11.7,5.9,2.0,0.441,0.357,0.838,16.4,-0.8
76,Zach LaVine,19.8,3.9,3.9,0.461,0.387,0.829,23.4,0.5
77,T.J. Warren,15.5,4.1,1.2,0.507,0.357,0.78,19.6,-0.2
78,Jusuf Nurkić,12.2,8.5,2.2,0.5,0.232,0.672,23.5,0.5
79,Gary Harris,11.8,2.5,2.1,0.448,0.363,0.812,20.8,-1.4
80,Rodney Hood,10.5,2.6,1.7,0.419,0.365,0.84,17.3,-1.2
81,Shabazz Napier,7.1,1.9,2.5,0.397,0.345,0.815,8.1,-0.7
82,Clint Capela,12.4,10.6,1.0,0.623,0.0,0.527,51.6,2.0
83,P.J. Hairston,6.0,2.4,0.5,0.343,0.295,0.81,0.9,-3.9
84,Bogdan Bogdanović,14.1,3.4,3.4,0.439,0.381,0.824,15.4,0.3
85,Kyle Anderson,6.6,4.4,2.3,0.475,0.334,0.71,26.6,1.7
86,K.J. McDaniels,5.3,2.2,0.6,0.412,0.29,0.776,1.3,-2.8
87,Joe Harris,11.1,3.2,1.6,0.483,0.439,0.78,20.5,-0.5
88,Spencer Dinwiddie,13.1,3.0,5.0,0.41,0.321,0.793,22.1,0.4
89,Jerami Grant,11.4,3.9,1.3,0.452,0.349,0.723,28.2,-0.4
90,Glenn Robinson III,5.9,2.6,0.8,0.457,0.373,0.779,7.9,-1.7
91,Nikola Jokić,19.5,10.3,6.2,0.54,0.347,0.831,78.4,8.8
92,Markel Brown,5.2,2.1,1.2,0.38,0.295,0.781,1.1,-2.9
93,Dwight Powell,7.6,4.6,1.0,0.581,0.297,0.75,36.9,1.3
94,Jordan Clarkson,15.4,3.3,2.5,0.44,0.338,0.828,21.1,-0.5
95,Jordan McRae,6.9,1.8,1.4,0.417,0.355,0.772,1.7,-2.1
96,Karl-Anthony Towns,23.2,11.4,3.1,0.527,0.397,0.834,65.8,4.9
97,D'Angelo Russell,17.7,3.6,5.6,0.42,0.357,0.78,14.4,0.6
98,Jahlil Okafor,10.4,4.7,0.9,0.542,0.222,0.676,7.2,-2.0
99,Kristaps Porziņģis,18.8,7.8,1.6,0.443,0.352,0.819,26.3,1.6
100,Mario Hezonja,6.9,3.1,1.3,0.417,0.319,0.812,3.2,-2.8
101,Willie Cauley-Stein,8.7,5.9,1.4,0.544,0.188,0.612,23.3,-0.1
102,Emmanuel Mudiay,10.9,2.9,3.8,0.401,0.323,0.744,-0.2,-3.2
103,Stanley Johnson,6.2,3.1,1.5,0.383,0.302,0.757,6.1,-2.7
104,Frank Kaminsky,9.4,4.1,1.6,0.429,0.348,0.743,15.2,-0.3
105,Justise Winslow,8.4,5.1,2.5,0.413,0.315,0.634,7.8,-2.1
106,Myles Turner,12.7,6.7,1.2,0.489,0.349,0.768,33.0,0.6
107,Trey Lyles,7.7,4.3,1.1,0.441,0.338,0.733,14.2,-1.0
108,Devin Booker,23.4,3.9,4.7,0.456,0.356,0.87,29.4,0.5
109,Cameron Payne,7.6,2.2,3.2,0.422,0.364,0.83,8.1,-0.4
110,Kelly Oubre Jr.,12.1,4.3,1.0,0.433,0.331,0.751,17.1,-1.8
111,Terry Rozier,12.6,3.9,3.1,0.417,0.378,0.82,23.5,0.6
112,Sam Dekker,5.4,3.0,0.8,0.478,0.288,0.606,5.4,-1.4
113,Jerian Grant,6.1,1.9,2.9,0.411,0.323,0.77,8.3,-1.6
114,Delon Wright,7.2,3.2,3.0,0.453,0.355,0.798,22.3,2.1
115,Justin Anderson,5.3,2.6,0.7,0.412,0.297,0.774,4.9,-1.4
116,Bobby Portis,11.1,6.6,1.2,0.469,0.385,0.752,20.7,-0.6
117,Rondae Hollis-Jefferson,9.0,5.5,1.9,0.449,0.212,0.735,12.9,-0.7
118,Tyus Jones,6.1,1.7,3.7,0.435,0.349,0.82,19.0,0.4
119,Jarell Martin,5.4,3.5,0.6,0.434,0.346,0.766,3.2,-4.3
120,Larry Nance Jr.,8.1,6.6,1.9,0.528,0.331,0.685,24.2,1.1
121,Cedi Osman,10.0,3.2,2.1,0.421,0.348,0.718,6.9,-2.5
122,Montrezl Harrell,12.9,5.3,1.4,0.619,0.117,0.661,40.3,2.9
123,Willy Hernangómez,7.3,5.8,1.1,0.537,0.312,0.697,14.3,0.2
124,Richaun Holmes,9.6,5.8,1.1,0.605,0.256,0.746,26.6,0.4
125,Josh Richardson,12.0,3.1,2.7,0.427,0.364,0.838,23.4,-0.5
126,Pat Connaughton,5.9,3.3,1.2,0.447,0.367,0.794,18.0,0.0
127,Andrew Harrison,7.0,2.0,2.8,0.373,0.294,0.779,3.2,-2.8
128,Norman Powell,11.3,2.6,1.5,0.462,0.382,0.831,19.3,-0.2
129,Ben Simmons,15.9,8.1,7.7,0.56,0.147,0.597,30.4,3.7
130,Brandon Ingram,18.5,5.1,3.8,0.461,0.362,0.766,18.3,-0.3
131,Jaylen Brown,16.3,4.9,2.0,0.471,0.371,0.711,23.4,0.0
